result,user,sys
420,4.62, 0.01
390,4.58, 0.01
372,6.86, 0.01
401,7.11, 0.01
411,9.29, 0.01
379,10.74, 0.01
399,9.44, 0.02
389,6.83, 0.01
386,7.19, 0.01
379,9.13, 0.02
