result,user,sys
379,8.10, 0.03
375,6.04, 0.01
422,17.61, 0.03
385,11.88, 0.01
417,6.84, 0.01
389,10.83, 0.01
419,8.07, 0.01
404,8.44, 0.01
380,10.89, 0.01
393,8.78, 0.02
