result,user,sys
417,13.04, 0.13
417,11.72, 0.14
459,18.21, 0.18
374,7.84, 0.08
403,11.34, 0.09
384,7.06, 0.08
404,11.90, 0.06
382,9.33, 0.02
368,8.25, 0.07
382,14.65, 0.14
