result,user,sys
380,5.31, 0.03
401,6.67, 0.03
377,6.60, 0.03
390,14.58, 0.12
435,13.91, 0.11
392,8.98, 0.03
394,11.09, 0.02
413,5.25, 0.01
393,11.19, 0.02
381,8.50, 0.08
