result,user,sys
401,7.44, 0.02
401,9.86, 0.01
412,13.32, 0.06
366,5.18, 0.03
376,6.37, 0.03
392,6.35, 0.02
378,5.74, 0.02
395,6.37, 0.03
385,6.03, 0.02
405,4.83, 0.01
