result,user,sys
407,7.38, 0.06
383,6.84, 0.01
402,6.11, 0.02
396,11.38, 0.03
377,5.55, 0.01
415,15.84, 0.02
401,10.31, 0.01
389,6.25, 0.01
403,5.27, 0.01
391,13.61, 0.02
