result,user,sys
415,6.31, 0.01
372,10.39, 0.02
426,7.46, 0.01
416,10.11, 0.01
393,14.74, 0.01
388,10.18, 0.01
413,6.74, 0.01
371,6.25, 0.01
405,12.95, 0.02
408,5.76, 0.01
