result,user,sys
391,14.68, 0.03
382,5.81, 0.01
394,6.70, 0.01
374,6.20, 0.01
383,9.99, 0.01
398,8.28, 0.01
358,10.54, 0.01
449,6.42, 0.01
384,8.46, 0.01
395,8.05, 0.01
