result,user,sys
396,9.07, 0.02
391,8.94, 0.01
387,9.61, 0.01
395,7.46, 0.01
381,8.30, 0.01
364,4.94, 0.01
385,4.90, 0.01
367,6.51, 0.01
390,7.08, 0.01
432,13.02, 0.02
